person_id,cabinet_id,n_posts,portfolios,tenure_days,era
Q108741355,TN-19,1,head_of_government,659,saied_exception
Q121088468,TN-20,1,head_of_government,372,saied_exception
Q128723414,TN-21,1,head_of_government,226,saied_exception
Q1363916,TN-08,1,head_of_government,690,ben_ali
Q1381809,TN-09,1,head_of_government,3703,ben_ali
Q15304780,TN-14,1,head_of_government,373,transition
Q3125311,TN-15,1,head_of_government,568,second_republic
Q431515,TN-10,1,head_of_government,4120,ben_ali
Q495676,TN-00,1,head_of_government,613,protectorate_end
Q57699,TN-12,1,head_of_government,445,transition
Q643348,TN-01,1,head_of_government,466,monarchy
Q643348,TN-02,1,head_of_government,4484,bourguiba
TN-ali-larayedh,TN-13,1,head_of_government,322,transition
TN-bahi-ladgham,TN-03,1,head_of_government,360,bourguiba
TN-beji-caid-essebsi,TN-11,1,head_of_government,300,transition
TN-elyes-fakhfakh,TN-17,1,head_of_government,188,second_republic
TN-hedi-nouira,TN-04,1,head_of_government,3460,bourguiba
TN-hichem-mechichi,TN-18,1,head_of_government,404,second_republic
TN-mohamed-mzali,TN-05,1,head_of_government,2267,bourguiba
TN-rachid-sfar,TN-06,1,head_of_government,451,bourguiba
TN-sara-zaafarani,TN-22,1,head_of_government,523,saied_exception
TN-youssef-chahed,TN-16,1,head_of_government,1279,second_republic
TN-zine-el-abidine-ben-ali,TN-07,1,head_of_government,36,bourguiba
