source,target,weight,overlap_days,overlap_years,n_cabinets,cabinets,eras,tie_type
Q16325262,Q1642894,3196,3196,8.75,4,Gouvernement Ben Ammar|Gouvernement Bourguiba I|TN-00|TN-02,bourguiba|protectorate|protectorate_end,co_membership
Q16325262,Q1951854,1682,1682,4.61,3,Gouvernement Ben Ammar|Gouvernement Bourguiba I|TN-02,bourguiba|protectorate|protectorate_end,co_membership
Q16325262,Q2830956,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,Q2875153,613,613,1.68,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,Q29580475,613,613,1.68,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,Q3067195,831,831,2.28,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,Q3160736,1042,1042,2.85,2,Gouvernement Ben Ammar|TN-00,protectorate|protectorate_end,co_membership
Q16325262,Q3265667,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,Q3326203,831,831,2.28,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,Q3461176,2573,2573,7.04,3,Gouvernement Ben Ammar|TN-00|TN-02,bourguiba|protectorate|protectorate_end,co_membership
Q16325262,Q3513893,1052,1052,2.88,2,Gouvernement Ben Ammar|TN-00,protectorate|protectorate_end,co_membership
Q16325262,Q495676,1048,1048,2.87,2,Gouvernement Ben Ammar|TN-00,protectorate|protectorate_end,co_membership
Q16325262,Q563204,1609,1609,4.41,3,Gouvernement Ben Ammar|Gouvernement Bourguiba I|TN-00,protectorate|protectorate_end,co_membership
Q16325262,TN-andre-blanchard,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,TN-chedly-rehaiem,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,TN-henri-culmann-puis-jean-gaston-fraisse-a,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,TN-jean-mathieu,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,TN-mohamed-badra,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,TN-unknown-20,613,613,1.68,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,TN-unknown-21,613,613,1.68,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,TN-unknown-22,613,613,1.68,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,TN-unknown-23,613,613,1.68,1,Gouvernement Ben Ammar,protectorate,co_membership
Q16325262,TN-unknown-24,613,613,1.68,1,Gouvernement Ben Ammar,protectorate,co_membership
Q1642894,Q1951854,6264,6264,17.15,6,Gouvernement Ben Ammar|Gouvernement Bourguiba I|Gouvernement Ladgham|Gouvernement Nouira|TN-02|TN-03,bourguiba|protectorate|protectorate_end,co_membership
Q1642894,Q2830956,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
Q1642894,Q2875153,613,613,1.68,1,Gouvernement Ben Ammar,protectorate,co_membership
Q1642894,Q29580475,613,613,1.68,1,Gouvernement Ben Ammar,protectorate,co_membership
Q1642894,Q3067195,6015,6015,16.47,3,Gouvernement Ben Ammar|Gouvernement Bourguiba II|TN-02,bourguiba|monarchy|protectorate,co_membership
Q1642894,Q3160736,1042,1042,2.85,2,Gouvernement Ben Ammar|TN-00,protectorate|protectorate_end,co_membership
Q1642894,Q3265667,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
Q1642894,Q3326203,831,831,2.28,1,Gouvernement Ben Ammar,protectorate,co_membership
Q1642894,Q3461176,7115,7115,19.48,4,Gouvernement Ben Ammar|Gouvernement Bourguiba II|TN-00|TN-02,bourguiba|monarchy|protectorate|protectorate_end,co_membership
Q1642894,Q3513893,1052,1052,2.88,2,Gouvernement Ben Ammar|TN-00,protectorate|protectorate_end,co_membership
Q1642894,Q495676,1048,1048,2.87,2,Gouvernement Ben Ammar|TN-00,protectorate|protectorate_end,co_membership
Q1642894,Q563204,4174,4174,11.43,4,Gouvernement Ben Ammar|Gouvernement Bourguiba I|TN-00|TN-02,bourguiba|protectorate|protectorate_end,co_membership
Q1642894,TN-andre-blanchard,730,730,2.0,1,Gouvernement Ben Ammar,protectorate,co_membership
