source,target,portfolio,handover_date,predecessor_tenure_days,era,weight,tie_type
TN-abdelkader-belkhodja,TN-mohamed-saadallah,agriculture,1950-01-01,1096.0,protectorate,1,succession
TN-mohamed-saadallah,TN-abdelaziz-menchari,agriculture,1952-01-01,730.0,protectorate,1,succession
TN-abdelaziz-menchari,TN-mohamed-badra,agriculture,1954-01-01,731.0,protectorate,1,succession
TN-mohamed-badra,TN-abdelkader-belkhodja,agriculture,1954-01-01,730.0,protectorate,1,succession
TN-abdelkader-belkhodja,Q108462555,agriculture,1954-08-07,0.0,protectorate_end,1,succession
Q108462555,Q29580475,agriculture,1954-08-07,613.0,protectorate_end,1,succession
Q29580475,Q3328946,agriculture,1956-04-15,613.0,monarchy,1,succession
Q3328946,Q16262805,agriculture,1956-04-15,261.0,monarchy,1,succession
Q16262805,Q3328946,agriculture,1957-07-29,466.0,bourguiba,1,succession
Q3328946,Q2821308,agriculture,1958-12-30,25230.0,bourguiba,1,succession
Q2821308,Q3331012,agriculture,1962-04-03,1190.0,bourguiba,1,succession
Q3331012,Q16262805,agriculture,1964-11-12,954.0,bourguiba,1,succession
Q16262805,Q22928978,agriculture,1967-07-26,986.0,bourguiba,1,succession
Q22928978,Q2820925,agriculture,1969-09-08,775.0,bourguiba,1,succession
Q2820925,Q22928978,agriculture,1970-06-12,781.0,bourguiba,1,succession
Q22928978,Q2374730,agriculture,1970-06-17,143.0,bourguiba,1,succession
Q2374730,TN-unknown-120,agriculture,1970-11-02,138.0,bourguiba,1,succession
TN-unknown-120,Q29580479,agriculture,1970-11-02,3460.0,bourguiba,1,succession
Q29580479,Q2820925,agriculture,1970-11-06,3460.0,bourguiba,1,succession
Q2820925,TN-abderrahman-ben-messaoud,agriculture,1971-10-29,3343.0,bourguiba,1,succession
TN-abderrahman-ben-messaoud,Q16262803,agriculture,1971-10-29,2986.0,bourguiba,1,succession
Q16262803,Q29580479,agriculture,1971-10-29,2986.0,bourguiba,1,succession
Q29580479,Q3128202,agriculture,1974-09-25,2986.0,bourguiba,1,succession
Q3128202,Q22928978,agriculture,1979-11-07,1924.0,bourguiba,1,succession
Q22928978,TN-unknown-89,agriculture,1980-04-23,3185.0,bourguiba,1,succession
TN-unknown-89,Q22928978,agriculture,1980-04-23,2267.0,bourguiba,1,succession
Q22928978,TN-unknown-125,agriculture,1987-11-07,2079.0,ben_ali,1,succession
TN-unknown-125,Q17425841,agriculture,1988-01-01,690.0,ben_ali,1,succession
Q17425841,TN-ameur-horchani,agriculture,1988-04-12,366.0,ben_ali,1,succession
TN-ameur-horchani,Q17425841,agriculture,1988-07-27,14015.0,ben_ali,1,succession
Q17425841,TN-mohsen-boujbal,agriculture,1988-07-27,258.0,ben_ali,1,succession
TN-mohsen-boujbal,TN-ameur-horchani,agriculture,1988-07-27,158.0,ben_ali,1,succession
TN-ameur-horchani,TN-mohsen-boujbal,agriculture,1989-01-01,158.0,ben_ali,1,succession
TN-mohsen-boujbal,Q16666837,agriculture,1989-01-01,0.0,ben_ali,1,succession
Q16666837,TN-ameur-horchani,agriculture,1989-01-01,0.0,ben_ali,1,succession
TN-ameur-horchani,Q16666837,agriculture,1989-04-11,0.0,ben_ali,1,succession
Q16666837,TN-mohsen-boujbal,agriculture,1989-09-27,680.0,ben_ali,1,succession
TN-mohsen-boujbal,TN-ameur-horchani,agriculture,1989-09-27,3383.0,ben_ali,1,succession
TN-ameur-horchani,TN-unknown-98,agriculture,1989-09-27,3383.0,ben_ali,1,succession
TN-unknown-98,Q16664915,agriculture,1989-09-27,3703.0,ben_ali,1,succession
Q16664915,Q17580016,agriculture,1989-09-27,3703.0,ben_ali,1,succession
Q17580016,Q19060346,agriculture,1989-09-27,3703.0,ben_ali,1,succession
Q19060346,Q16666837,agriculture,1989-09-27,3703.0,ben_ali,1,succession
Q16666837,Q19629356,agriculture,1989-09-27,3703.0,ben_ali,1,succession
Q19629356,Q55391329,agriculture,1991-02-20,3703.0,ben_ali,1,succession
Q55391329,TN-ameur-horchani,agriculture,1991-02-20,3192.0,ben_ali,1,succession
TN-ameur-horchani,TN-mouldi-zouaoui,agriculture,1991-02-20,2872.0,ben_ali,1,succession
TN-mouldi-zouaoui,Q16664915,agriculture,1993-06-15,2872.0,ben_ali,1,succession
Q16664915,Q19060346,agriculture,1994-06-01,1317.0,ben_ali,1,succession
Q19060346,Q17580016,agriculture,1997-01-22,1675.0,ben_ali,1,succession
Q17580016,Q19629356,agriculture,1997-10-09,709.0,ben_ali,1,succession
Q19629356,TN-ameur-horchani,agriculture,1999-11-17,1792.0,ben_ali,1,succession
TN-ameur-horchani,Q3334855,agriculture,1999-11-17,4063.0,ben_ali,1,succession
Q3334855,Q2821297,agriculture,1999-11-17,4120.0,ben_ali,1,succession
Q2821297,Q19629356,agriculture,1999-11-17,4120.0,ben_ali,1,succession
Q19629356,Q54875086,agriculture,1999-11-17,4120.0,ben_ali,1,succession
Q54875086,Q3125311,agriculture,1999-11-17,4120.0,ben_ali,1,succession
Q3125311,Q2821297,agriculture,1999-11-17,4120.0,ben_ali,1,succession
Q2821297,TN-unknown-58,agriculture,1999-11-17,4120.0,ben_ali,1,succession
TN-unknown-58,Q19629356,agriculture,1999-11-17,4120.0,ben_ali,1,succession
Q19629356,TN-unknown-77,agriculture,1999-11-17,4063.0,ben_ali,1,succession
TN-unknown-77,TN-unknown-65,agriculture,1999-11-17,4120.0,ben_ali,1,succession
TN-unknown-65,Q3125311,agriculture,2001-01-23,4120.0,ben_ali,1,succession
