person_id,wikidata_qid,name,name_variants,name_ar,name_en,gender,birth_date_precision,birth_date,birth_year,death_date,death_year,birth_place,birth_region,birth_place_qid,citizenship,education,degrees,academic_fields,occupations,profession_domains,parties,party_qids,religion,awards,wikipedia_fr,wikipedia_ar,wikipedia_en,leaders_url,sources,birth_governorate,birth_region_type,birth_coastal,birth_sahel,n_appointments,n_cabinets,n_portfolios,first_appointment,last_appointment_end,total_tenure_days,max_rank_level,ever_sovereign_portfolio,ever_head_of_government,portfolios_held,eras_served,age_at_first_appointment,career_span_years
Q495676,Q495676,Tahar Ben Ammar,tahar ben ammar,,,,day,1889-11-25,1889,1985-05-10,1985.0,,,,,,,,,,,,,,,,,,spine,,,,,1,1,1,1954-08-07,1956-04-11,613,0,True,True,head_of_government,protectorate_end,64.7,1.7
Q643348,Q643348,Habib Bourguiba,habib bourguiba,,,male,day,1903-08-03,1903,2000-04-06,2000.0,Monastir,,,,Lycée Carnot de Tunis|Université de Paris,,,,law,,,,,,,,,spine,Monastir,centre_east,True,True,2,2,1,1956-04-15,1969-11-07,4950,0,True,True,head_of_government,bourguiba|monarchy,52.7,13.6
TN-bahi-ladgham,,Bahi Ladgham,bahi ladgham,,,male,day,1913-01-10,1913,1998-04-13,1998.0,Tunis,,,,,,,,,,,,,,,,,spine,Tunis,greater_tunis,True,False,1,1,1,1969-11-07,1970-11-02,360,0,True,True,head_of_government,bourguiba,56.8,1.0
TN-hedi-nouira,,Hédi Nouira,hedi amara nouira|hedi nouira,,,male,day,1911-04-05,1911,1993-01-25,1993.0,Monastir,,,,,,,,law,,,,,,,,,spine,Monastir,centre_east,True,True,1,1,1,1970-11-02,1980-04-23,3460,0,True,True,head_of_government,bourguiba,59.6,9.5
TN-mohamed-mzali,,Mohamed Mzali,mohamed mzali|mohammed mzali,,,male,day,1925-12-23,1925,2010-06-23,2010.0,Monastir,,,,,,,,,,,,,,,,,spine,Monastir,centre_east,True,True,1,1,1,1980-04-23,1986-07-08,2267,0,True,True,head_of_government,bourguiba,54.3,6.2
TN-rachid-sfar,,Rachid Sfar,rachid sfar,,,male,day,1933-09-11,1933,2023-07-20,2023.0,Mahdia,,,,,,,,,,,,,,,,,spine,Mahdia,centre_east,True,True,1,1,1,1986-07-08,1987-10-02,451,0,True,True,head_of_government,bourguiba,52.8,1.2
TN-zine-el-abidine-ben-ali,,Zine El Abidine Ben Ali,zine el abidine ben ali,,,male,day,1936-09-03,1936,,,Hammam Sousse,,,,,,,,security,,,,,,,,,spine,Sousse,centre_east,True,True,1,1,1,1987-10-02,1987-11-07,36,0,True,True,head_of_government,bourguiba,51.1,0.1
Q1363916,Q1363916,Hédi Baccouche,hedi baccouche,,,male,day,1930-01-15,1930,2020-01-21,2020.0,Hammam Sousse,,,,,,,,,,,,,,,,,spine,Sousse,centre_east,True,True,1,1,1,1987-11-07,1989-09-27,690,0,True,True,head_of_government,ben_ali,57.8,1.9
Q1381809,Q1381809,Hamed Karoui,hamed karoui,,,male,day,1927-12-30,1927,2020-03-27,2020.0,Sousse,,,,,,,,medicine,,,,,,,,,spine,Sousse,centre_east,True,True,1,1,1,1989-09-27,1999-11-17,3703,0,True,True,head_of_government,ben_ali,61.7,10.1
Q431515,Q431515,Mohamed Ghannouchi,mohamed ghannouchi,,,male,day,1941-08-18,1941,,,Sousse,,,,,,,,economics,,,,,,,,,spine,Sousse,centre_east,True,True,1,1,1,1999-11-17,2011-02-27,4120,0,True,True,head_of_government,ben_ali,58.2,11.3
TN-beji-caid-essebsi,,Béji Caïd Essebsi,beji caid es-sebsi|beji caid essebsi,,,male,day,1926-11-29,1926,2019-07-25,2019.0,Sidi Bou Saïd,,,,,,,,law,,,,,,,,,spine,Tunis,greater_tunis,True,False,1,1,1,2011-02-27,2011-12-24,300,0,True,True,head_of_government,transition,84.2,0.8
Q57699,Q57699,Hamadi Jebali,hamadi jebali,,,male,day,1949-01-12,1949,,,Sousse,,,,,,,,engineering,,,,,,,,,spine,Sousse,centre_east,True,True,1,1,1,2011-12-24,2013-03-13,445,0,True,True,head_of_government,transition,62.9,1.2
TN-ali-larayedh,,Ali Larayedh,ali laarayedh|ali larayedh,,,male,day,1955-08-15,1955,,,Médenine,,,,,,,,engineering,,,,,,,,,spine,Médenine,southeast,True,False,1,1,1,2013-03-13,2014-01-29,322,0,True,True,head_of_government,transition,57.6,0.9
Q15304780,Q15304780,Mehdi Jomaa,mehdi jomaa,,,male,day,1962-04-21,1962,,,Mahdia,,,,,,,,engineering,,,,,,,,,spine,Mahdia,centre_east,True,True,1,1,1,2014-01-29,2015-02-06,373,0,True,True,head_of_government,transition,51.8,1.0
Q3125311,Q3125311,Habib Essid,habib essid,,,male,day,1949-06-01,1949,,,Sousse,,,,Université de Tunis|University of Minnesota,,,,economics,,,,,,,,,spine,Sousse,centre_east,True,True,1,1,1,2015-02-06,2016-08-27,568,0,True,True,head_of_government,second_republic,65.7,1.6
TN-youssef-chahed,,Youssef Chahed,youssef chahed,,,male,day,1975-09-18,1975,,,Tunis,,,,Institut national agronomique de Tunisie,,,,engineering,,,,,,,,,spine,Tunis,greater_tunis,True,False,1,1,1,2016-08-27,2020-02-27,1279,0,True,True,head_of_government,second_republic,40.9,3.5
TN-elyes-fakhfakh,,Elyès Fakhfakh,elyes fakhfakh,,,male,year,1972-01-01,1972,,,Tunis,,,,,,,,engineering,,,,,,,,,spine,Tunis,greater_tunis,True,False,1,1,1,2020-02-27,2020-09-02,188,0,True,True,head_of_government,second_republic,48.2,0.5
TN-hichem-mechichi,,Hichem Mechichi,hichem mechichi,,,male,month,1974-01-01,1974,,,Tunis,,,,,,,,law,,,,,,,,,spine,Tunis,greater_tunis,True,False,1,1,1,2020-09-02,2021-10-11,404,0,True,True,head_of_government,second_republic,46.7,1.1
Q108741355,Q108741355,Najla Bouden,najla bouden|najla bouden romdhane,,,female,day,1958-06-29,1958,,,Kairouan,,,,ESTP Paris|Mines ParisTech,,,,engineering|academia,,,,,,,,,spine,Kairouan,centre_west,False,False,1,1,1,2021-10-11,2023-08-01,659,0,True,True,head_of_government,saied_exception,63.3,1.8
Q121088468,Q121088468,Ahmed Hachani,ahmed hachani,,,male,day,1956-10-04,1956,,,,,,,Université de Tunis,,,,law,,,,,,,,,spine,,,,,1,1,1,2023-08-01,2024-08-07,372,0,True,True,head_of_government,saied_exception,66.8,1.0
Q128723414,Q128723414,Kamel Maddouri,kamel maddouri|kamel madouri,,,male,day,1974-01-25,1974,,,,,,,Université de Tunis,,,,law,,,,,,,,,spine,,,,,1,1,1,2024-08-07,2025-03-21,226,0,True,True,head_of_government,saied_exception,50.5,0.6
TN-sara-zaafarani,,Sara Zaafarani,sara zaafarani|sara zaafarani zenzari|sara zaafarani zenzri,,,female,day,1963-01-26,1963,,,Tunis,,,,,,,,engineering,,,,,,,,,spine,Tunis,greater_tunis,True,False,1,1,1,2025-03-21,,523,0,True,True,head_of_government,saied_exception,62.1,
