id,head,head_role,start,end,era,pre_independence,note,wikipedia_fr,confidence,first_post_independence,resolve_subcabinets,spans_regime_change,wikipedia_en
TN-00,Tahar Ben Ammar,prime_minister,1954-08-07,1956-04-11,protectorate_end,True,"Negotiated and signed the independence protocol of 20 March 1956, and continued as first head of government of the independent Kingdom from 20 March until the handover to Bourguiba on 11 April 1956. Included for continuity with the protectorate elite; flagged `pre_independence` so it can be excluded from the post-independence analysis frame.",Gouvernement Tahar Ben Ammar,medium,,,,
TN-01,Habib Bourguiba,prime_minister,1956-04-15,1957-07-25,monarchy,,"First government of independent Tunisia, formed under the monarchy of Lamine Bey. Ends with the proclamation of the Republic on 25 July 1957. SOURCES DIFFER ON THE START DATE: Bourguiba was appointed Prime Minister by the Bey on 11 April 1956, but the government's composition was announced on 15 April. The later date is used because the unit of this table is the GOVERNMENT, not the person's appointment; the four-day gap after TN-00 is the real interregnum, not a data error.",Gouvernement Bourguiba I,high,True,,,
TN-02,Habib Bourguiba,president_as_head,1957-07-29,1969-11-07,bourguiba,,"Between the proclamation of the Republic and the appointment of a Prime Minister in November 1969, Bourguiba was simultaneously head of state and head of government; cabinet members held the rank of secretary of state (""secrétaire d'État""). Sources differ on how many numbered governments to distinguish in this period (at minimum a new composition was formed after Bourguiba's election as president on 8 November 1959). The harvester resolves the numbered cabinets and their reshuffles from Wikipedia rather than freezing one convention here.",Gouvernement Habib Bourguiba,medium,,True,,
TN-03,Bahi Ladgham,prime_minister,1969-11-07,1970-11-02,bourguiba,,,Gouvernement Ladgham,high,,,,
TN-04,Hédi Nouira,prime_minister,1970-11-02,1980-04-23,bourguiba,,Appointed interim Prime Minister on 9 October 1970 while Ladgham was in Cairo; initial composition announced 6 November 1970.,Gouvernement Hédi Nouira,high,,True,,
TN-05,Mohamed Mzali,prime_minister,1980-04-23,1986-07-08,bourguiba,,Named coordinator of government action on 1 March 1980 before his formal appointment as Prime Minister on 23 April.,Gouvernement Mohamed Mzali,high,,True,,
TN-06,Rachid Sfar,prime_minister,1986-07-08,1987-10-02,bourguiba,,,Gouvernement Rachid Sfar,high,,,,
TN-07,Zine El Abidine Ben Ali,prime_minister,1987-10-02,1987-11-07,bourguiba,,Prime Minister for five weeks before deposing Bourguiba on 7 November 1987.,Gouvernement Zine el-Abidine Ben Ali,high,,,,
TN-08,Hédi Baccouche,prime_minister,1987-11-07,1989-09-27,ben_ali,,,Gouvernement Hédi Baccouche,high,,True,,
TN-09,Hamed Karoui,prime_minister,1989-09-27,1999-11-17,ben_ali,,,Gouvernement Hamed Karoui,high,,True,,
TN-10,Mohamed Ghannouchi,prime_minister,1999-11-17,2011-02-27,ben_ali,,"Longest-serving Prime Minister. Remained in office across the 14 January 2011 rupture, forming two short-lived post-revolution governments (17 and 27 January 2011) before resigning on 27 February 2011. The `spans_regime_change` flag matters for era coding: appointments under this spell must be split at 2011-01-14 when era is assigned.",Gouvernement Mohamed Ghannouchi,high,,True,True,
TN-11,Béji Caïd Essebsi,prime_minister,2011-02-27,2011-12-24,transition,,,Gouvernement Béji Caïd Essebsi,high,,,,
TN-12,Hamadi Jebali,head_of_government,2011-12-24,2013-03-13,transition,,First troika government after the 2011 Constituent Assembly election.,Gouvernement Hamadi Jebali,high,,,,
TN-13,Ali Larayedh,head_of_government,2013-03-13,2014-01-29,transition,,,Gouvernement Ali Larayedh,high,,,,
TN-14,Mehdi Jomaa,head_of_government,2014-01-29,2015-02-06,transition,,Technocratic government produced by the National Dialogue.,Gouvernement Mehdi Jomaa,high,,,,
TN-15,Habib Essid,head_of_government,2015-02-06,2016-08-27,second_republic,,,Gouvernement Habib Essid,high,,,,
TN-16,Youssef Chahed,head_of_government,2016-08-27,2020-02-27,second_republic,,Carthage Agreement government; several major reshuffles.,Gouvernement Chahed,high,,True,,
TN-17,Elyès Fakhfakh,head_of_government,2020-02-27,2020-09-02,second_republic,,,Gouvernement Elyès Fakhfakh,high,,,,
TN-18,Hichem Mechichi,head_of_government,2020-09-02,2021-10-11,second_republic,,Dismissed by President Saïed on 25 July 2021; the office remained vacant until Bouden's appointment on 11 October 2021.,Gouvernement Hichem Mechichi,high,,,,
TN-19,Najla Bouden,head_of_government,2021-10-11,2023-08-01,saied_exception,,First woman to head a Tunisian government.,Gouvernement Najla Bouden,high,,,,
TN-20,Ahmed Hachani,head_of_government,2023-08-01,2024-08-07,saied_exception,,,Gouvernement Ahmed Hachani,high,,,,
TN-21,Kamel Maddouri,head_of_government,2024-08-07,2025-03-21,saied_exception,,,Gouvernement Kamel Maddouri,high,,,,
TN-22,Sara Zaafarani,head_of_government,2025-03-21,,saied_exception,,Second woman to head a Tunisian government; minister of equipment and housing before her appointment. `end: null` means incumbent as of the snapshot date recorded in data/processed/MANIFEST.json.,Gouvernement Sara Zaafarani,high,,,,Zaafarani Cabinet
